1,1,1,0,1,7,13,,,
1,1,0,0,1,8,13,,,
1,1,0,1,0,9,13,,,
1,0,0,1,0,10,13,,,
1,0,1,1,0,11,13,,,
1,0,1,0,1,12,13,,,
1,1,1,0,1,13,13,,,
0,1,1,0,0,14,13,,,
0,1,1,0,1,1,14,,,
0,1,1,1,0,2,14,,,
0,1,0,1,0,3,14,,,
1,1,0,1,1,4,14,,,
1,0,0,1,1,5,14,,,
1,0,1,1,1,6,14,,,
1,1,1,1,1,7,14,,,
0,1,1,1,0,8,14,,,
0,1,1,0,1,9,14,,,
0,1,1,1,0,10,14,,,
1,1,1,1,1,11,14,,,
1,1,0,1,1,12,14,,,
1,0,0,1,1,13,14,,,
1,1,0,1,1,14,14,,,
1,0,1,1,0,1,15,,,
1,0,0,1,0,2,15,,,
1,1,0,1,0,3,15,,,
1,1,0,0,1,4,15,,,
1,1,1,0,1,5,15,,,
1,0,1,0,1,6,15,,,
1,1,1,0,1,7,15,,,
0,1,1,0,0,8,15,,,
1,1,1,0,1,9,15,,,
1,1,0,0,1,10,15,,,
1,1,1,0,1,11,15,,,
1,1,1,1,0,12,15,,,
1,1,1,0,1,13,15,,,
0,1,1,0,0,14,15,,,
0,1,1,0,0,1,16,,,
1,1,1,0,1,2,16,,,
1,0,1,0,1,3,16,,,
1,0,1,1,0,4,16,,,
1,0,0,1,0,5,16,,,
1,1,0,1,0,6,16,,,
1,1,0,0,1,7,16,,,
1,1,1,0,1,8,16,,,
0,1,1,0,0,9,16,,,
1,1,1,0,1,10,16,,,
1,0,1,0,1,11,16,,,
1,0,1,1,0,12,16,,,
1,0,0,1,0,13,16,,,
1,1,0,1,0,14,16,,,
0,1,1,0,1,1,17,,,
0,1,1,1,0,2,17,,,
0,1,0,1,0,3,17,,,
1,1,0,1,1,4,17,,,
1,0,0,1,1,5,17,,,
1,1,0,1,1,6,17,,,
1,1,1,1,1,7,17,,,
0,1,1,1,0,8,17,,,
0,1,1,0,1,9,17,,,
0,1,1,1,0,10,17,,,
0,0,1,1,0,11,17,,,
1,0,1,1,1,12,17,,,
1,0,0,1,1,13,17,,,
1,1,0,1,1,14,17,,,
0,1,1,0,0,1,18,,,
1,1,1,0,1,2,18,,,
1,1,1,1,0,3,18,,,
1,1,1,0,1,4,18,,,
1,1,0,0,1,5,18,,,
1,1,1,0,1,6,18,,,
0,1,1,0,0,7,18,,,
1,1,1,0,1,8,18,,,
1,0,1,0,1,9,18,,,
1,1,1,0,1,10,18,,,
1,1,0,0,1,11,18,,,
1,1,0,1,0,12,18,,,
1,0,0,1,0,13,18,,,
1,1,0,1,0,14,18,,,
0,1,1,0,0,1,19,,,
1,1,1,0,1,2,19,,,
1,0,1,0,1,3,19,,,
1,0,1,1,0,4,19,,,
1,0,0,1,0,5,19,,,
1,1,0,1,0,6,19,,,
1,1,1,1,0,7,19,,,
1,1,1,0,1,8,19,,,
0,1,1,0,0,9,19,,,
1,1,1,0,1,10,19,,,
1,1,1,1,0,11,19,,,
1,0,1,1,0,12,19,,,
1,0,0,1,0,13,19,,,
1,1,0,1,0,14,19,,,
1,1,0,1,0,1,20,,,
1,0,0,1,0,2,20,,,
1,0,1,1,0,3,20,,,
1,1,1,1,0,4,20,,,
1,1,1,0,1,5,20,,,
0,1,1,0,0,6,20,,,
1,1,1,0,1,7,20,,,
1,1,0,0,1,8,20,,,
1,1,0,1,0,9,20,,,
1,1,1,1,0,10,20,,,
1,0,1,1,0,11,20,,,
1,0,1,0,1,12,20,,,
1,1,1,0,1,13,20,,,
0,1,1,0,0,14,20,,,
1,0,0,1,1,1,21,PPNegNeutE,,
1,0,1,1,0,2,21,,,
1,0,1,0,0,3,21,,,
1,0,1,1,0,4,21,,,
1,0,0,1,1,5,21,,,
1,0,1,1,0,6,21,,,
1,1,1,1,1,7,21,,,
0,1,1,1,0,8,21,,,
1,1,1,1,1,9,21,,,
1,1,1,0,1,10,21,,,
